iter	Passed	Remaining
223	5541	19198
224	5566	19174
225	5592	19153
226	5618	19132
227	5642	19105
228	5668	19083
229	5689	19048
230	5714	19023
231	5739	19000
232	5764	18976
233	5788	18949
234	5817	18937
235	5842	18914
236	5875	18914
237	5904	18904
238	5931	18888
239	5959	18870
240	5983	18843
241	6008	18818
242	6032	18791
243	6056	18765
244	6081	18742
245	6108	18721
246	6133	18697
247	6158	18673
248	6183	18649
249	6208	18624
250	6232	18598
251	6256	18570
252	6280	18544
253	6306	18521
254	6330	18494
255	6355	18469
256	6381	18448
257	6405	18422
258	6430	18398
259	6455	18372
260	6479	18347
261	6504	18320
262	6530	18298
263	6554	18273
264	6580	18252
265	6605	18226
266	6631	18205
267	6655	18179
268	6680	18152
269	6706	18132
270	6732	18110
271	6758	18087
272	6781	18060
273	6809	18043
274	6836	18024
275	6866	18011
276	6894	17994
277	6920	17973
278	6949	17958
279	6976	17939
280	7000	17912
281	7023	17882
282	7048	17857
283	7073	17833
284	7099	17810
285	7126	17791
286	7157	17780
287	7187	17768
288	7216	17754
289	7244	17736
290	7269	17710
291	7295	17688
292	7320	17663
293	7344	17637
294	7371	17616
295	7396	17592
296	7422	17570
297	7449	17548
298	7474	17522
299	7499	17499
300	7525	17475
301	7552	17455
302	7576	17429
303	7619	17444
304	7646	17423
305	7671	17399
306	7697	17376
307	7722	17351
308	7747	17325
309	7774	17304
310	7798	17276
311	7824	17255
312	7849	17229
313	7874	17204
314	7901	17181
315	7926	17158
316	7955	17141
317	7986	17128
318	8015	17111
319	8045	17096
320	8075	17081
321	8103	17062
322	8128	17037
323	8155	17014
324	8179	16988
325	8205	16964
326	8230	16939
327	8256	16915
328	8282	16891
329	8307	16867
330	8333	16844
331	8360	16822
332	8385	16796
333	8410	16771
334	8437	16748
335	8462	16723
336	8488	16700
337	8515	16677
338	8540	16652
339	8565	16626
340	8590	16601
341	8616	16577
342	8640	16550
343	8667	16528
344	8692	16502
345	8719	16481
346	8745	16458
347	8771	16434
348	8800	16415
349	8827	16393
350	8853	16370
351	8878	16345
352	8905	16321
353	8930	16296
354	8956	16272
355	8982	16249
356	9007	16223
357	9034	16201
358	9055	16169
359	9080	16143
360	9107	16120
361	9132	16095
362	9158	16072
363	9183	16045
364	9207	16018
365	9233	15995
366	9258	15968
367	9284	15945
368	9311	15922
369	9335	15896
370	9362	15873
371	9388	15849
372	9412	15822
373	9436	15795
374	9462	15771
375	9488	15747
376	9514	15722
377	9538	15695
378	9564	15671
379	9591	15649
380	9616	15623
381	9641	15597
382	9667	15574
383	9693	15549
384	9719	15526
385	9744	15500
386	9769	15475
387	9796	15452
388	9820	15424
389	9844	15398
390	9869	15371
391	9895	15348
392	9922	15325
393	9945	15297
394	9972	15274
395	9994	15244
396	10018	15217
397	10044	15193
398	10069	15167
399	10097	15145
400	10121	15119
401	10145	15092
402	10170	15066
